time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened,location_name,location_coordinates
2020-05-08,3.73149644e+14,ROME,12E_40N_15E_42N
2020-05-09,1.12327407e+15,ROME,12E_40N_15E_42N
2020-05-10,5.4214795e+14,ROME,12E_40N_15E_42N
2020-05-11,7.82275545e+14,ROME,12E_40N_15E_42N
2020-05-12,7.28104331e+14,ROME,12E_40N_15E_42N
2020-05-13,2.21493772e+15,ROME,12E_40N_15E_42N
2020-05-14,1.78982749e+15,ROME,12E_40N_15E_42N
2020-05-15,-1.267651e+30,ROME,12E_40N_15E_42N
2020-05-16,1.22199846e+15,ROME,12E_40N_15E_42N
2020-05-17,-1.267651e+30,ROME,12E_40N_15E_42N
2020-05-18,2.03782038e+15,ROME,12E_40N_15E_42N
2020-05-19,1.52451851e+15,ROME,12E_40N_15E_42N
2020-05-20,2.95903705e+15,ROME,12E_40N_15E_42N
2020-05-21,7.49665939e+14,ROME,12E_40N_15E_42N
2020-05-22,-1.267651e+30,ROME,12E_40N_15E_42N
2020-05-23,1.59677328e+15,ROME,12E_40N_15E_42N
2020-05-24,1.62119111e+14,ROME,12E_40N_15E_42N
2019-01-31,1.56051302e+15,ROME,12E_40N_15E_42N
2019-02-01,1.81090303e+15,ROME,12E_40N_15E_42N
2019-02-02,-1.267651e+30,ROME,12E_40N_15E_42N
2019-02-03,1.85020655e+15,ROME,12E_40N_15E_42N
2019-02-04,-1.267651e+30,ROME,12E_40N_15E_42N
2019-02-05,2.39676006e+15,ROME,12E_40N_15E_42N
2019-02-06,-1.267651e+30,ROME,12E_40N_15E_42N
2019-02-07,1.12262694e+15,ROME,12E_40N_15E_42N
2019-02-08,2.56357256e+15,ROME,12E_40N_15E_42N
2019-02-09,1.8645402e+15,ROME,12E_40N_15E_42N
2019-02-10,8.37237101e+14,ROME,12E_40N_15E_42N
2019-02-11,-1.267651e+30,ROME,12E_40N_15E_42N
2019-02-12,3.90017229e+15,ROME,12E_40N_15E_42N
2019-02-13,-1.267651e+30,ROME,12E_40N_15E_42N
2019-02-14,1.58390408e+15,ROME,12E_40N_15E_42N
2019-02-15,2.30426757e+14,ROME,12E_40N_15E_42N
2019-02-16,5.7661721e+14,ROME,12E_40N_15E_42N
2019-02-17,5.76308308e+14,ROME,12E_40N_15E_42N
2019-02-18,6.27446806e+14,ROME,12E_40N_15E_42N
2019-02-19,6.54128015e+14,ROME,12E_40N_15E_42N
2019-02-20,-1.267651e+30,ROME,12E_40N_15E_42N
2019-02-21,2.6969474e+15,ROME,12E_40N_15E_42N
2019-02-22,-1.267651e+30,ROME,12E_40N_15E_42N
2019-02-23,1.07465833e+15,ROME,12E_40N_15E_42N
2019-02-24,1.1064429e+15,ROME,12E_40N_15E_42N
2019-02-25,4.89923296e+14,ROME,12E_40N_15E_42N
2019-02-26,2.15671407e+15,ROME,12E_40N_15E_42N
2019-02-27,1.53743824e+14,ROME,12E_40N_15E_42N
2019-02-28,1.54117184e+15,ROME,12E_40N_15E_42N
2019-03-01,-1.267651e+30,ROME,12E_40N_15E_42N
2019-03-02,1.38805532e+15,ROME,12E_40N_15E_42N
2019-03-03,7.11842846e+14,ROME,12E_40N_15E_42N
2019-03-04,6.03844954e+14,ROME,12E_40N_15E_42N
2019-03-05,1.54494752e+15,ROME,12E_40N_15E_42N
2019-03-06,9.42686937e+14,ROME,12E_40N_15E_42N
2019-03-07,1.60414948e+15,ROME,12E_40N_15E_42N
2019-03-08,-1.267651e+30,ROME,12E_40N_15E_42N
2019-03-09,1.64208867e+15,ROME,12E_40N_15E_42N
2019-03-10,-1.267651e+30,ROME,12E_40N_15E_42N
2019-03-11,1.72531303e+14,ROME,12E_40N_15E_42N
2019-03-12,1.9520464e+15,ROME,12E_40N_15E_42N
2019-03-13,1.67300908e+15,ROME,12E_40N_15E_42N
